"";"ID";"Soil";"Diversity";"Time";"Rep"
"C10-1T30R4";"C10-1T30R4";"C";"1";"T30";"R4"
"C10-1T30R5";"C10-1T30R5";"C";"1";"T30";"R5"
"C10-1T30R6";"C10-1T30R6";"C";"1";"T30";"R6"
"C10-1T5R1";"C10-1T5R1";"C";"1";"T5";"R1"
"C10-1T5R2";"C10-1T5R2";"C";"1";"T5";"R2"
"C10-1T5R3";"C10-1T5R3";"C";"1";"T5";"R3"
"C10-1T5R4";"C10-1T5R4";"C";"1";"T5";"R4"
"C10-1T5R5";"C10-1T5R5";"C";"1";"T5";"R5"
"C10-1T5R6";"C10-1T5R6";"C";"1";"T5";"R6"
"C10-3T15R1";"C10-3T15R1";"C";"3";"T15";"R1"
"C10-3T15R2";"C10-3T15R2";"C";"3";"T15";"R2"
"C10-3T15R3";"C10-3T15R3";"C";"3";"T15";"R3"
"C10-3T15R4";"C10-3T15R4";"C";"3";"T15";"R4"
"C10-3T15R5";"C10-3T15R5";"C";"3";"T15";"R5"
"C10-3T15R6";"C10-3T15R6";"C";"3";"T15";"R6"
"C10-3T1R1";"C10-3T1R1";"C";"3";"T1";"R1"
"C10-3T1R2";"C10-3T1R2";"C";"3";"T1";"R2"
"C10-3T1R3";"C10-3T1R3";"C";"3";"T1";"R3"
"C10-3T1R4";"C10-3T1R4";"C";"3";"T1";"R4"
"C10-3T1R5";"C10-3T1R5";"C";"3";"T1";"R5"
"C10-3T1R6";"C10-3T1R6";"C";"3";"T1";"R6"
"C10-3T30R1";"C10-3T30R1";"C";"3";"T30";"R1"
"C10-3T30R2";"C10-3T30R2";"C";"3";"T30";"R2"
"C10-3T30R3";"C10-3T30R3";"C";"3";"T30";"R3"
"C10-3T30R4";"C10-3T30R4";"C";"3";"T30";"R4"
"C10-3T30R5";"C10-3T30R5";"C";"3";"T30";"R5"
"C10-3T30R6";"C10-3T30R6";"C";"3";"T30";"R6"
"C10-3T5R1";"C10-3T5R1";"C";"3";"T5";"R1"
"C10-3T5R2";"C10-3T5R2";"C";"3";"T5";"R2"
"C10-3T5R3";"C10-3T5R3";"C";"3";"T5";"R3"
"C10-3T5R4";"C10-3T5R4";"C";"3";"T5";"R4"
"C10-3T5R5";"C10-3T5R5";"C";"3";"T5";"R5"
"C10-3T5R6";"C10-3T5R6";"C";"3";"T5";"R6"
"C10-5T15R1";"C10-5T15R1";"C";"5";"T15";"R1"
"C10-5T15R2";"C10-5T15R2";"C";"5";"T15";"R2"
"C10-5T15R3";"C10-5T15R3";"C";"5";"T15";"R3"
"C10-5T15R4";"C10-5T15R4";"C";"5";"T15";"R4"
"C10-5T15R5";"C10-5T15R5";"C";"5";"T15";"R5"
"C10-5T15R6";"C10-5T15R6";"C";"5";"T15";"R6"
"C10-5T1R1";"C10-5T1R1";"C";"5";"T1";"R1"
"C10-5T1R2";"C10-5T1R2";"C";"5";"T1";"R2"
"C10-5T1R3";"C10-5T1R3";"C";"5";"T1";"R3"
"C10-5T1R4";"C10-5T1R4";"C";"5";"T1";"R4"
"C10-5T1R5";"C10-5T1R5";"C";"5";"T1";"R5"
"C10-5T1R6";"C10-5T1R6";"C";"5";"T1";"R6"
"C10-5T30R1";"C10-5T30R1";"C";"5";"T30";"R1"
"C10-5T30R2";"C10-5T30R2";"C";"5";"T30";"R2"
"C10-5T30R3";"C10-5T30R3";"C";"5";"T30";"R3"
"C10-5T30R4";"C10-5T30R4";"C";"5";"T30";"R4"
"C10-5T30R5";"C10-5T30R5";"C";"5";"T30";"R5"
"C10-5T30R6";"C10-5T30R6";"C";"5";"T30";"R6"
"C10-5T5R1";"C10-5T5R1";"C";"5";"T5";"R1"
"C10-5T5R2";"C10-5T5R2";"C";"5";"T5";"R2"
"C10-5T5R3";"C10-5T5R3";"C";"5";"T5";"R3"
"C10-5T5R4";"C10-5T5R4";"C";"5";"T5";"R4"
"C10-5T5R5";"C10-5T5R5";"C";"5";"T5";"R5"
"C10-5T5R6";"C10-5T5R6";"C";"5";"T5";"R6"
