"","AG","BG","BX","CBH","LAP","NAG","PHOS","SUL"
"B_d1_T1_4"," 16.41488"," 23.56239","  0.00000"," 17.49166"," 17.25905"," 50.31292","139.28633"," 10.97886"
"B_d1_T1_5","  7.201707"," 27.706381","  3.896110"," 16.883451"," 11.047269"," 54.908587","151.830393"," 11.607244"
"B_d1_T30_1"," 94.708765"," 28.839033","  0.000000","  7.640619"," 43.921743"," 34.276738","120.955752","  7.650683"
"B_d1_T30_2"," 77.115145"," 29.163689","  0.000000","  1.364122"," 43.275256"," 34.124481","145.452685","  9.401344"
"B_d1_T30_3","  2.928989"," 27.644807","  0.000000","  2.660242"," 39.278020"," 42.269647","137.545367","  8.177646"
"B_d1_T30_4"," 46.791618"," 33.552858","  1.128001","  0.000000"," 45.345646"," 34.763477","124.724465","  7.803426"
"B_d1_T30_5"," 68.408427"," 27.047600","  0.000000","  9.101245"," 40.137618"," 38.067015","126.483663","  8.995955"
"B_d1_T5_1"," 22.447715"," 19.334051"," 11.085268"," 22.267041","  5.227243"," 34.600002","140.089212"," 10.118326"
"B_d1_T5_2"," 33.983084"," 29.749904","  9.713184"," 24.293335"," 13.999341"," 38.517883","170.517283","  9.235298"
"B_d1_T5_3"," 24.541461"," 29.956124","  0.000000"," 31.212634","  5.990011"," 32.420664","137.832914","  9.528059"
"B_d1_T5_4"," 43.07896"," 20.86834","  0.00000"," 23.69031"," 10.62851"," 36.53291","156.78808"," 11.46559"
"B_d1_T5_5"," 35.3905475"," 32.0983678","  0.0000000"," 36.1644526","  0.9158886"," 34.4996557","129.1363929","  8.8415672"
"B_d1_T5_6"," 50.989352"," 24.177110","  3.149808"," 27.302501"," 10.716518"," 36.642036","165.927858","  8.055446"
