ID,Soil,Diversity,Time,Rep
AxC_d3_t5_1,AxC,3,5,1
AxC_d3_t5_2,AxC,3,5,2
AxC_d3_t5_3,AxC,3,5,3
AxC_d3_t5_4,AxC,3,5,4
AxC_d3_t5_5,AxC,3,5,5
AxC_d5_t15_1,AxC,5,15,1
AxC_d5_t15_2,AxC,5,15,2
AxC_d5_t15_3,AxC,5,15,3
AxC_d5_t15_4,AxC,5,15,4
AxC_d5_t15_5,AxC,5,15,5
AxC_d5_t1_1,AxC,5,1,1
AxC_d5_t1_2,AxC,5,1,2
AxC_d5_t1_3,AxC,5,1,3
AxC_d5_t1_4,AxC,5,1,4
AxC_d5_t1_5,AxC,5,1,5
AxC_d5_t30_1,AxC,5,30,1
AxC_d5_t30_2,AxC,5,30,2
AxC_d5_t30_3,AxC,5,30,3
AxC_d5_t30_4,AxC,5,30,4
AxC_d5_t30_5,AxC,5,30,5
AxC_d5_t5_1,AxC,5,5,1
AxC_d5_t5_2,AxC,5,5,2
AxC_d5_t5_3,AxC,5,5,3
AxC_d5_t5_4,AxC,5,5,4
AxC_d5_t5_5,AxC,5,5,5
B_d1_t15_1,B,1,15,1
B_d1_t15_2,B,1,15,2
B_d1_t15_3,B,1,15,3
B_d1_t15_4,B,1,15,4
B_d1_t15_5,B,1,15,5
B_d1_t1_1,B,1,1,1
B_d1_t1_2,B,1,1,2
B_d1_t1_3,B,1,1,3
B_d1_t1_4,B,1,1,4
B_d1_t1_5,B,1,1,5
B_d1_t30_1,B,1,30,1
B_d1_t30_2,B,1,30,2
B_d1_t30_3,B,1,30,3
B_d1_t30_4,B,1,30,4
B_d1_t30_5,B,1,30,5
B_d1_t5_1,B,1,5,1
B_d1_t5_2,B,1,5,2
B_d1_t5_3,B,1,5,3
B_d1_t5_4,B,1,5,4
B_d1_t5_5,B,1,5,5
B_d3_t15_1,B,3,15,1
B_d3_t15_2,B,3,15,2
B_d3_t15_3,B,3,15,3
B_d3_t15_4,B,3,15,4
B_d3_t15_5,B,3,15,5
B_d3_t1_1,B,3,1,1
B_d3_t1_2,B,3,1,2
B_d3_t1_3,B,3,1,3
B_d3_t1_4,B,3,1,4
B_d3_t1_5,B,3,1,5
B_d3_t30_1,B,3,30,1
B_d3_t30_2,B,3,30,2
B_d3_t30_3,B,3,30,3
B_d3_t30_4,B,3,30,4
B_d3_t30_5,B,3,30,5
B_d3_t5_1,B,3,5,1
B_d3_t5_2,B,3,5,2
B_d3_t5_3,B,3,5,3
B_d3_t5_4,B,3,5,4
B_d3_t5_5,B,3,5,5
B_d5_t15_1,B,5,15,1
B_d5_t15_2,B,5,15,2
B_d5_t15_3,B,5,15,3
B_d5_t15_4,B,5,15,4
B_d5_t15_5,B,5,15,5
B_d5_t1_1,B,5,1,1
B_d5_t1_2,B,5,1,2
B_d5_t1_3,B,5,1,3
B_d5_t1_4,B,5,1,4
B_d5_t1_5,B,5,1,5
B_d5_t30_1,B,5,30,1
B_d5_t30_2,B,5,30,2
B_d5_t30_3,B,5,30,3
B_d5_t30_4,B,5,30,4
B_d5_t30_5,B,5,30,5
B_d5_t5_1,B,5,5,1
B_d5_t5_2,B,5,5,2
B_d5_t5_3,B,5,5,3
B_d5_t5_4,B,5,5,4
B_d5_t5_5,B,5,5,5
BxC_d1_t15_1,BxC,1,15,1
BxC_d1_t15_2,BxC,1,15,2
BxC_d1_t15_3,BxC,1,15,3
BxC_d1_t15_4,BxC,1,15,4
BxC_d1_t15_5,BxC,1,15,5
BxC_d1_t1_1,BxC,1,1,1
BxC_d1_t1_2,BxC,1,1,2
BxC_d1_t1_3,BxC,1,1,3
BxC_d1_t1_4,BxC,1,1,4
BxC_d1_t30_1,BxC,1,30,1
BxC_d1_t30_2,BxC,1,30,2
BxC_d1_t30_3,BxC,1,30,3
BxC_d1_t30_4,BxC,1,30,4
BxC_d1_t30_5,BxC,1,30,5
BxC_d1_t5_1,BxC,1,5,1
BxC_d1_t5_2,BxC,1,5,2
BxC_d1_t5_3,BxC,1,5,3
BxC_d1_t5_4,BxC,1,5,4
BxC_d1_t5_5,BxC,1,5,5
BxC_d3_t15_1,BxC,3,15,1
BxC_d3_t15_2,BxC,3,15,2
BxC_d3_t15_3,BxC,3,15,3
BxC_d3_t15_4,BxC,3,15,4
BxC_d3_t15_5,BxC,3,15,5
