,Time,B_BxC,C_BxC
0,1,3.9705050707019813,2.7629545038680283
1,5,3.377021857037492,3.245441135189018
2,15,4.2720847872471825,2.4435602401592695
3,30,5.9094205171521565,3.3608577043626293
