"","AG","BG","BX","CBH","LAP","NAG","PHOS","SUL"
"A_d5_T15_1","  3.821311"," 65.384332"," 22.876330","  6.359291"," 70.305185"," 19.351336","149.625210","  4.272908"
"A_d5_T15_2","  0.000000"," 51.341240"," 16.445474","  5.464032"," 61.568478"," 25.680063","170.487254","  4.883168"
"A_d5_T15_3","  0.000000"," 63.059697"," 12.469815"," 13.158068"," 65.419742"," 29.229502","190.943968","  5.317505"
"A_d5_T15_4","  0.00000"," 51.92913"," 15.87997","  0.00000"," 69.63239"," 30.31411","165.07810","  4.48278"
"A_d5_T15_5","  0.000000"," 75.744874"," 23.809129"," 19.054851"," 66.591947"," 20.400065","167.805675","  3.890875"
"A_d5_T1_1","  0.000000"," 52.405823"," 33.877205","  0.000000","  5.804001"," 24.963243","163.403600","  6.544656"
"A_d5_T1_2","  0.000000"," 54.976608"," 23.488408","  0.000000","  9.995843"," 22.797396","164.726300","  4.382106"
"A_d5_T1_3","  0.0000000"," 59.4568280"," 23.5027414","  0.0000000","  0.5834392"," 22.1658513","156.3199999","  6.5172292"
"A_d5_T1_4","  0.000000"," 50.831818"," 38.664524","  0.000000","  7.998320"," 23.969876","164.974421","  5.825598"
"A_d5_T1_5","  0.000000"," 66.540252"," 28.442860","  0.000000","  3.324982"," 19.799262","174.622180","  5.646472"
"A_d5_T30_1"," 90.702370"," 71.531765"," 51.093511","  6.804763"," 47.354285"," 30.026125","172.411652","  4.977241"
"A_d5_T30_2"," 68.10658"," 55.56547"," 43.78933"," 12.53139"," 29.86062"," 23.46886","155.99141","  5.42774"
"A_d5_T30_3"," 84.123964"," 53.207391"," 53.828187","  2.817406"," 35.620922"," 37.777885","168.019228","  6.156551"
"A_d5_T30_4","114.31125"," 73.79119"," 50.30479"," 15.79155"," 50.50195"," 49.01255","231.50063","  8.08689"
"A_d5_T30_5","106.407205"," 78.948848"," 54.979938"," 24.034765"," 44.892724"," 31.062644","171.077551","  6.057815"
"A_d5_T5_1"," 55.542652"," 49.967978"," 10.733879"," 18.752695"," 16.376483"," 23.272149","156.026575","  3.105341"
"A_d5_T5_2"," 57.7352006"," 48.9489370","  8.8523808","  0.4359812"," 10.8731189"," 26.4464550","182.1416569","  2.2457102"
"A_d5_T5_3"," 90.068698"," 40.568703"," 10.080949"," 19.115889"," 15.132135"," 18.902041","163.687294","  6.947673"
"A_d5_T5_4"," 73.324351"," 57.523519"," 14.181203"," 22.536781"," 11.133941"," 26.057830","202.968314","  6.318493"
"A_d5_T5_5","123.804930"," 48.639190"," 21.479974"," 27.281781"," 15.087303"," 29.426499","180.248736","  7.702785"
"AxC_d5_T15_1","127.7491830"," 17.3744720","  7.6725146"," 20.3338097"," 34.5579729","  7.6140141"," 67.2470656","  0.6656724"
"AxC_d5_T15_2","186.201369"," 11.316682"," 14.823715"," 21.843268","135.323686"," 13.197101"," 76.138370","  4.679689"
"AxC_d5_T15_3","220.476808"," 15.669894","  0.000000"," 18.672321"," 93.693965"," 33.048715","141.454400","  6.101341"
"AxC_d5_T15_4"," 73.5311207","  0.0000000"," 10.6221646","  0.0000000","110.9223473"," 11.3468777"," 67.9801979","  0.5078199"
"AxC_d5_T15_5","174.27774","102.15887","  0.00000"," 17.70567","108.18159"," 60.95294","323.31821"," 13.55606"
"AxC_d5_T1_1","  0.000000","108.234131"," 22.417099","  0.000000"," 16.525562"," 81.128486","226.936643","  9.281776"
"AxC_d5_T1_2"," 30.331829","146.252810"," 19.339998","  0.000000"," 75.246897","104.753025","264.859179","  9.535576"
"AxC_d5_T1_3"," 33.88578","124.98824"," 22.86711","  0.00000"," 53.80785"," 71.77406","268.74275"," 11.58825"
"AxC_d5_T1_4","  8.592844"," 84.430025"," 20.387531","  0.000000"," 36.507440"," 63.118396","266.806712"," 10.894399"
"AxC_d5_T1_5","  0.00000","135.34626"," 10.09640","  0.00000"," 45.85501"," 80.26613","272.80825"," 12.02914"
"AxC_d5_T30_1","  0.00000","134.67127"," 46.68458","  0.00000"," 73.03518"," 84.05189","293.24143"," 12.54723"
"AxC_d5_T30_2","  0.000000","120.866003"," 25.040259","  0.000000"," 42.801707"," 61.628819","251.545543","  8.990698"
"AxC_d5_T30_3","  0.00000","112.28700"," 50.14853","  0.00000","139.44640"," 89.15346","270.16683"," 10.87020"
"AxC_d5_T30_4","  0.00000","125.90491"," 39.62577","  0.00000","134.00581"," 76.39406","324.48429"," 10.71315"
"AxC_d5_T30_5","  0.00000","142.09180"," 43.89473","  0.00000"," 83.88915","115.81169","345.09053"," 13.93500"
"AxC_d5_T30_6","  0.00000","146.48509"," 40.38913","  0.00000"," 53.78502","121.02064","277.01606"," 10.43744"
"AxC_d5_T5_1","102.60939","192.88109"," 29.24013"," 11.40613"," 91.27447","135.14533","408.14168"," 15.92136"
"AxC_d5_T5_2"," 69.44157","137.65232"," 23.68522","  0.00000"," 48.15472"," 93.34479","279.17239"," 11.13387"
"AxC_d5_T5_3"," 52.2685967","180.2420109"," 23.6548887","  0.9252779","100.3723941","141.5830503","302.6392704"," 14.7074296"
"AxC_d5_T5_4","110.400227","129.788339"," 25.227731","  4.770362"," 14.416899"," 81.729244","280.686523"," 12.850289"
"AxC_d5_T5_5","118.111076","200.766652"," 31.833058","  6.863096","135.193355","116.428678","388.852753"," 15.835053"
"C_d5_T15_1","  0.00000","239.56264"," 21.65847","  0.00000","140.87626","184.19684","473.21157"," 21.99814"
"C_d5_T15_2","111.57348","276.15286"," 80.94740"," 35.62770","177.69355","212.69920","620.76040"," 29.56355"
"C_d5_T15_3"," 65.623537","262.442439"," 39.921239","  5.102845","125.771186","126.896746","357.125583"," 20.763243"
"C_d5_T15_4"," 88.06146","266.76713"," 46.33264"," 23.96434","246.12424","173.63464","536.18695"," 27.41410"
"C_d5_T15_5"," 94.85954","206.66271"," 45.53692"," 29.69375","178.57461","159.79297","624.21108"," 32.24229"
"C_d5_T1_1","  0.00000","276.34334"," 28.69728","  0.00000","130.28357","157.80452","309.51026"," 18.07699"
"C_d5_T1_2","  0.00000","155.99359"," 15.10575","  0.00000"," 95.52335","114.95986","331.54207"," 17.18971"
"C_d5_T1_3","  0.00000","243.69027"," 13.49884"," 16.03472","205.92026","150.11856","341.24980"," 19.13624"
"C_d5_T1_4","  0.00000","205.69756"," 15.20594","  0.00000","186.68514","121.76149","322.07464"," 20.66200"
"C_d5_T1_5","  0.000000","228.384943","  0.000000","  4.913627","105.728952","150.237276","317.609008"," 22.970840"
"C_d5_T30_1"," 56.50950","247.34272"," 41.07433","  0.00000","135.33001","162.19912","547.88690"," 27.14879"
"C_d5_T30_2"," 63.04473","220.48805"," 27.72563","  0.00000","128.59060","154.51855","523.32344"," 22.63566"
"C_d5_T30_3"," 44.98947","337.71154"," 24.11675","  0.00000","176.67646","215.85941","654.04986"," 28.79663"
"C_d5_T30_4"," 54.77852","172.90109"," 16.16278","  0.00000","152.25975","123.22297","444.40790"," 20.10113"
"C_d5_T30_5"," 57.94932"," 85.83030"," 21.76793","  0.00000","147.89702"," 94.02775","353.65154"," 22.15525"
"C_d5_T5_1","138.94812","238.04036","  0.00000"," 11.27807","104.18429","174.10331","480.76068"," 28.13635"
"C_d5_T5_2"," 93.88675","207.63493","  0.00000","  0.00000","104.78628","146.95564","424.84251"," 24.78704"
"C_d5_T5_3","108.65794","186.03436","  0.00000"," 20.02151","154.78570","144.77565","450.56851"," 23.90819"
"C_d5_T5_4"," 67.5311491","183.4922953","  0.0000000","  0.2939915","108.7800842","111.9069895","403.4309702"," 17.6881962"
"C_d5_T5_5","101.41283","218.79877","  0.00000"," 15.51431","206.50364","160.37343","441.97311"," 23.80081"
