,Time,A_AxB,B_AxB
0,1,1730.2556247628982,1300.2134025977575
1,5,1675.3812235930654,1619.981400780008
2,15,1552.750258133096,1783.293455031028
3,30,1573.011474169716,1736.5536772712035
