,Time,B_BxC,C_BxC
0,1,0.16622517631631833,0.09600073502356733
1,5,0.16768853304431514,0.10991025600192504
2,15,0.23281908908888316,0.11364406637513903
3,30,0.23306684739029873,0.1550939657460071
