,Time,A_AxC,C_AxC
0,1,1908.750797962934,929.7555746353836
1,5,2103.8367451659437,1013.4992094426652
2,15,1811.5131269141232,817.5887518304377
3,30,1977.3425708192724,698.0992528988429
