"","amines_Phenylethylamine","amines_Putrescine","amino-acids_Glycyl-LGlutamicAcid","amino-acids_L-Arginine","amino-acids_L-Asparagine","amino-acids_L-Serine","amino-acids_L-Threonine","amino-acids_LPhenylalanine","amino-acids_gamma-AminoButyricAcid","carbohydrates_Beta-Methyl-DGlucoside","carbohydrates_D,L-alphaGlycerolPhosphate","carbohydrates_D-Cellobiose","carbohydrates_D-GalactonicAcidgamma-Lactone","carbohydrates_D-Mannitol","carbohydrates_D-Xylose","carbohydrates_Glucose-1-Phosphate","carbohydrates_N-Acetyl-DGlucosamine","carbohydrates_alpha-D-Lactose","carbohydrates_i-Erythritol","carboxylicacids_D-MalicAcid","carboxylicacids_DGalacturonicAcid","carboxylicacids_DGlucosaminicAcid","carboxylicacids_ItaconicAcid","carboxylicacids_PyruvicAcidMethylEster","carboxylicacids_alpha-KetoButyricAcid","phenoliccompound_2-HydroxyBenzoicAcid","phenoliccompound_4-HydroxyBenzoicAcid","polymers_Glycogen","polymers_Tween40","polymers_Tween80","polymers_alpha-Cyclodextrin"
"C_d3_t15_1",2.284333333,1.592333333,1.33166666633333,2.245333333,2.56366666633333,2.26299999966667,0.682333333,1.235333333,2.46166666633333,2.06699999966667,0.703999999666667,2.61199999966667,1.30099999966667,2.65866666633333,2.55699999966667,1.423333333,2.18866666633333,2.41699999966667,0.872666666333333,2.41399999966667,2.12666666633333,1.69866666633333,2.48066666633333,2.00466666633333,1.06799999966667,0.213333333333333,2.18266666633333,0.414999999666667,2.319333333,2.18566666633333,0.302333333
"C_d3_t15_2",2.469,1.76333333333333,1.61,2.42033333333333,2.592,2.40133333333333,1.21733333333333,1.33066666666667,2.713,2.07566666666667,0.733,2.36066666666667,1.19766666666667,2.66866666666667,3.05833333333333,1.766,2.4,2.38033333333333,1.32166666666667,2.355,2.17166666666667,2.10266666666667,2.176,1.87766666666667,1.33766666666667,0.160666666666667,2.67233333333333,0.178,2.35866666666667,2.572,0.095
"C_d3_t15_3",2.34433333333333,1.596,0.935333333333333,2.299,2.67133333333333,2.33533333333333,0.765333333333333,1.362,2.214,1.33766666666667,0.674333333333333,1.91433333333333,1.314,2.18533333333333,0.75,1.635,1.96833333333333,1.95533333333333,1.22366666666667,2.58533333333333,2.247,1.63066666666667,1.833,1.632,0.793666666666667,0.221,2.24633333333333,0.248,2.35233333333333,2.05933333333333,0.0366666666666667
"C_d3_t15_4",1.73333333333333,1.74566666666667,1.057,2.43466666666667,2.63533333333333,2.22866666666667,0.639,1.053,2.80533333333333,1.082,0.614666666333333,2.62966666666667,1.484,2.29333333333333,0.789666666666667,1.62166666666667,1.90133333333333,2.08066666666667,1.30133333333333,2.50099999966667,2.301333333,2.13833333333333,2.462,1.91866666666667,1.87866666666667,0.090111111,2.22466666666667,0.669333333333333,2.42866666666667,2.31166666666667,0.129333333
"C_d3_t1_1",2.644333333,2.20266666633333,1.445333333,2.912333333,2.57999999966667,2.569333333,0.829666666333333,1.47866666633333,2.68099999966667,1.67699999966667,0.454666666333333,2.435333333,1.27999999966667,2.18666666633333,2.51366666633333,1.72199999966667,2.17999999966667,2.32799999966667,1.41366666633333,2.214333333,2.29699999966667,1.97299999966667,2.19299999966667,2.158333333,1.271333333,0.145333333,1.98566666633333,0.104333333,2.44366666633333,2.20799999966667,0.009111111
"C_d3_t1_2",1.903,1.74933333333333,1.612,2.81833333333333,2.71333333333333,2.37666666666667,1.01633333333333,1.651,2.59466666666667,1.81233333333333,1.25133333333333,2.11866666666667,1.67666666666667,2.83633333333333,2.20933333333333,1.84266666666667,2.54,2.27366666666667,1.00866666666667,2.06633333333333,1.742,1.98666666633333,1.75233333333333,2.118,1.477,0.109666666666667,2.07933333333333,0.456333333333333,2.359,2.56766666666667,0.009222222
"C_d3_t1_3",2.30366666633333,1.78966666633333,1.055333333,2.37599999966667,2.26666666633333,2.25866666633333,0.981999999666667,1.48699999966667,2.867333333,1.918333333,1.186333333,2.52199999966667,1.51966666633333,2.30966666633333,2.49466666633333,1.80999999966667,2.55699999966667,2.65766666633333,1.22599999966667,2.160333333,2.40899999966667,2.03900000033333,1.617333333,1.93799999966667,1.20466666633333,0.183999999666667,2.159333333,0.549999999666667,2.24366666633333,2.25466666633333,0.153333333666667
"C_d3_t1_4",2.086666667,2.137666667,1.694666667,2.382666667,2.54100000033333,2.28433333366667,1.330666667,1.435666667,2.666666667,2.28733333366667,1.050666667,2.92433333366667,1.51500000033333,2.950666667,2.903666667,1.66300000033333,2.32233333366667,2.25233333366667,1.80500000033333,2.54900000033333,2.14133333366667,2.14233333333333,1.93000000033333,1.750666667,0.765000000333333,0.111666667,2.08433333366667,0.526333333666667,2.448666667,2.609666667,0.01
"C_d3_t30_1",2.51766666666667,1.593333333,1.443333333,2.19166666633333,2.45766666633333,2.21466666633333,0.551666666333333,1.40199999966667,2.82299999966667,0.839999999666667,0.376333333,1.92466666633333,1.110333333,2.13366666633333,1.23999999966667,1.23599999966667,1.236333333,1.948333333,0.792999999666667,1.44266666633333,1.97566666633333,1.41266666633333,2.098333333,1.572333333,0.940333333,0.147666666333333,1.29999999966667,0.584999999666667,2.32566666633333,2.11766666633333,0
"C_d3_t30_2",2.58366666633333,1.861,1.182,2.191,2.12066666666667,2.168,0.269666666666667,0.920333333333333,3.056,1.38466666666667,0.383,1.90866666666667,1.10233333333333,2.254,1.30466666666667,1.39366666666667,1.62833333333333,2.159,1.017,2.10533333333333,2.33733333333333,1.631,1.93133333333333,1.16133333333333,0.743,0.202666666666667,2.67,0.280666666666667,2.44433333333333,2.05566666633333,0
"C_d3_t30_3",2.504666667,1.95399999966667,1.13299999966667,2.37099999966667,1.99699999966667,2.34799999966667,0.202333333,1.15499999966667,2.58299999966667,0.797666666333333,0.267333333,2.11766666633333,1.083333333,2.235333333,1.431333333,1.336333333,1.76666666633333,2.38599999966667,0.868666666333333,1.99099999966667,2.093333333,1.50766666633333,2.38799999966667,1.89166666633333,1.18366666633333,0.0378888886666667,2.810333333,0.154777777666667,2.543333333,2.09600000033333,0.0102222223333333
