,Time,A_AxC,C_AxC
0,1,0.8580019907317599,0.5995309995098277
1,5,0.8543106601716159,0.5930362180001454
2,15,0.8645374526168368,0.5630259011030148
3,30,0.8606492763402493,0.5602303848623752
