,amines_Phenylethylamine,amines_Putrescine,amino-acids_Glycyl-LGlutamicAcid,amino-acids_L-Arginine,amino-acids_L-Asparagine,amino-acids_L-Serine,amino-acids_L-Threonine,amino-acids_LPhenylalanine,amino-acids_gamma-AminoButyricAcid,carbohydrates_Beta-Methyl-DGlucoside,"carbohydrates_D,L-alphaGlycerolPhosphate",carbohydrates_D-Cellobiose,carbohydrates_D-GalactonicAcidgamma-Lactone,carbohydrates_D-Mannitol,carbohydrates_D-Xylose,carbohydrates_Glucose-1-Phosphate,carbohydrates_N-Acetyl-DGlucosamine,carbohydrates_alpha-D-Lactose,carbohydrates_i-Erythritol,carboxylicacids_D-MalicAcid,carboxylicacids_DGalacturonicAcid,carboxylicacids_DGlucosaminicAcid,carboxylicacids_ItaconicAcid,carboxylicacids_PyruvicAcidMethylEster,carboxylicacids_alpha-KetoButyricAcid,phenoliccompound_2-HydroxyBenzoicAcid,phenoliccompound_4-HydroxyBenzoicAcid,polymers_Glycogen,polymers_Tween40,polymers_Tween80,polymers_alpha-Cyclodextrin
C_d1_t15_1,2.059,1.257666666,0.342666666,1.881666666,2.156,2.231666666,0.226666666,0.834,2.620333333,1.042333333,0.116333333,1.169666666,0.83,2.060333333,1.402666666,1.302666666,1.31,1.339333333,0.787666666,1.81,1.676666666,1.537333333,2.017,1.759333333,0.435333333,0.191555555,1.947333333,0,2.414,2.416333333,0
C_d1_t15_2,2.344,1.443,0.298333333,1.890333333,1.931,1.937333333,0.265333333,0.425666666,2.140666666,1.215,0.13,1.438333333,1.010333333,2.115666666,1.683333333,1.072666666,1.302333333,1.999333333,0.591333333,1.915666666,1.977666666,1.667,1.618666666,1.819,0.582333333,0.082111111,2.420666666,0.084555555,2.416666666,2.272,0
C_d1_t15_3,2.207333333,1.394333333,0.382,2.075333333,2.289,2.222,0.233333333,0.621333333,2.130333333,1.022666667,0.116333333,1.48,0.774333333,2.197666667,1.351333333,0.934666667,1.500333333,1.529333333,0.539666667,1.890666667,1.939666667,1.632,1.690333333,1.938,0.408,0.479666667,2.321666667,0,2.187,1.980333333,0
C_d1_t15_4,2.235333333,0.981666666,0.261,2.141333333,2.234666666,2.064666666,0.204666666,0.667,2.274,0.871,0.110333333,1.295333333,0.942,2.060666666,1.724333333,1.139666666,1.364666666,1.095,0.830333333,2.140333333,2.002,1.552666666,2.107666666,1.539666666,0.399666666,0.453666666,2.187666666,0,2.419,2.032,0
C_d1_t1_1,2.307666666,1.517,0.823,2.303333333,2.317333333,2.44,0.449333333,1.007,2.593333333,1.023666666,0.376333333,2.138666666,1.15,2.286666666,2.167666666,1.572333333,2.216,1.848666666,0.794333333,2.204666666,1.880333333,1.808333333,2.129,2.187,1.176333333,0.615,2.450666666,0.052,2.353,2.223333333,0.698333334
C_d1_t1_2,2.333666667,1.888333334,1.209333334,1.991666667,2.387,2.445666667,0.251,1.224666667,2.970666667,1.141333334,0.856333334,2.665333334,1.128666667,2.573333334,2.474,1.680333334,2.221666667,1.754,0.822,2.233333334,1.835,2.018333334,2.197333334,2.005333334,0.939,0.209444445,2.741,0.042333334,2.465333334,2.286333334,0.514666667
C_d1_t1_3,2.659333334,1.634666667,1.038333334,2.677333334,2.533,2.375333333,0.643,1.373333334,3.050666667,1.046,1.216333334,2.771666667,1.135333333,2.323,2.846,1.745333334,2.255,1.916333334,0.782666667,2.629333334,2.175,2.042666667,2.533333334,2.503,0.743,0.653444445,2.661666667,0,2.536,2.566666667,0.418111111
C_d1_t1_4,2.438333333,1.720666666,1.167333333,2.355333333,2.609,2.453,0.378,1.247,2.538333333,0.973666667,0.334,1.845666666,1.156666667,2.374,2.551666666,1.684333333,2.179,1.820333333,0.94,2.155333333,1.915666666,2.165666666,2.042,2.205333333,0.998,1.211,2.371,0.011333334,2.353,2.3,0.328555556
C_d1_t30_1,2.829,1.779,0.732,2.515333333,2.717,2.405666666,0.518666666,1.193333333,2.397,1.172666666,0.554333333,1.617666666,1.281,2.449,2.518666666,1.592666666,1.707666666,2.086333333,0.898,2.305666666,1.961666666,2.055666666,2.078333333,2.265666666,0.601,0.309,2.543333333,0.259555555,2.432666666,2.307,0.019111111
C_d1_t30_2,2.696,1.574333333,0.723333333,2.405666666,2.691333333,2.217,0.357333333,0.937666666,2.813,1.315,0.508,2.102,1.018666666,2.660333333,1.938333333,1.415,1.851333333,1.886,0.822,2.729,2.144,1.974333333,2.192333333,2.379666667,0.812,0.369333333,2.360666666,0.281888889,2.538,2.111,0.221555555
C_d1_t30_3,2.372666667,2.002333333,0.668666667,2.453666667,2.324333333,2.111,0.260333333,1.138333333,2.342333333,1.161,0.457666667,2.084666667,1.577666667,2.730666667,2.362,1.346,2.211,1.777,0.682333333,2.202333333,2.305666667,1.953666667,2.408666667,2.503,1.068666667,0.070666667,2.4,0.460333333,2.418333333,2.073666667,0
C_d1_t30_4,2.950666667,1.675,1.128333333,2.513,2.809666667,2.304666667,0.683666667,1.739,2.397333333,1.388666667,0.464666667,2.181666667,1.233666667,2.65,2.490333334,1.674,2.435,2.295666667,0.785333333,2.409666667,2.147666667,2.081,2.464333333,2.459666667,0.867666667,0.053666667,2.525666667,0.622666667,2.484333333,2.284333333,0.722
C_d1_t5_1,2.421666666,1.453,0.757,2.596666666,2.359,2.342666666,0.229666666,0.881,2.262,1.099666666,0.669666666,1.412,1.011666666,2.228333333,2.210666666,0.970666666,1.547333333,1.727333333,0.625333333,2.382,1.94,1.703333333,2.191,2.045666666,0.854,0.188666666,2.326666666,0.132222222,2.357,2.051333333,0.001444444
C_d1_t5_2,2.339333333,1.480333333,0.783333333,2.600666667,2.354,2.148666667,0.337666667,0.993666667,2.48,1.192333333,0.511666667,2.309666667,1.215333333,2.228666667,2.517666667,1.863666667,2.093,1.968,1.069666667,2.597666667,2.058,1.780666667,2.030666667,1.936333333,0.318333333,0.138666667,2.373333333,0.005333333,2.505666667,1.957666667,0
C_d1_t5_3,2.145333334,1.569,0.641333334,2.285666667,2.468666667,2.138333334,0.395333334,0.922666667,2.587333334,1.119,0.449666667,2.152,0.934666667,2.186,2.128666667,1.246333334,1.735333334,1.422,0.737,2.601333334,1.974333334,1.794666667,2.305666667,2.369666667,0.715666667,0.755666667,2.379333334,0.558111111,2.617666667,2.131,0
C_d1_t5_4,2.481666666,1.622,0.882666666,2.369333333,2.238333333,2.309,0.305333333,0.656333333,2.457333333,1.049333333,0.651666666,2.331,1.123,2.217666666,1.997666666,1.204,1.968333333,2.099,0.320333333,2.261,1.852666666,1.883666666,2.157333333,2.402,0.538,0.125,2.434333333,0.019222222,2.430333333,2.018333333,0.018666667
